t_s,l_shoulder_pitch_rad,l_shoulder_roll_rad,l_shoulder_yaw_rad,l_elbow_rad,r_shoulder_pitch_rad,r_shoulder_roll_rad,r_shoulder_yaw_rad,r_elbow_rad
1.34001,0.276418,-0.115357,-1.2791,-0.130238,-0.361005,-0.0805505,0.898244,0.154344
1.35999,0.276111,-0.114502,-1.29834,-0.134542,-0.360965,-0.0805769,0.898217,0.161571
1.38,0.275762,-0.113189,-1.31567,-0.138252,-0.360281,-0.0805769,0.898216,0.168652
1.39999,0.275169,-0.11197,-1.33049,-0.140698,-0.360049,-0.0803807,0.898216,0.176151
1.41998,0.27312,-0.110669,-1.34192,-0.140934,-0.359079,-0.0800289,0.898211,0.183298
1.44,0.270192,-0.109591,-1.34931,-0.140997,-0.35822,-0.0797129,0.898175,0.191543
1.46,0.26636,-0.106934,-1.35209,-0.140997,-0.356877,-0.0795134,0.898175,0.199032
1.48,0.262262,-0.103099,-1.35224,-0.140957,-0.354874,-0.0794101,0.898184,0.206372
1.5,0.257453,-0.098639,-1.35224,-0.140957,-0.351806,-0.0794101,0.898184,0.211519
1.52,0.25231,-0.0928341,-1.35221,-0.140955,-0.346089,-0.0793758,0.89812,0.212806
1.53999,0.247833,-0.0875332,-1.35215,-0.140967,-0.339517,-0.0793739,0.898082,0.212806
1.55997,0.243853,-0.0825178,-1.35208,-0.14093,-0.33236,-0.0792179,0.898059,0.212726
1.57999,0.240665,-0.0775666,-1.35208,-0.140959,-0.325779,-0.0787525,0.898027,0.212524
1.59999,0.23724,-0.0730525,-1.35207,-0.140959,-0.321066,-0.0778639,0.898022,0.212457
1.62,0.234025,-0.069483,-1.35207,-0.140959,-0.316444,-0.0765239,0.897971,0.212457
1.64,0.231382,-0.0658163,-1.35206,-0.140962,-0.312834,-0.0749874,0.897971,0.212284
1.66,0.229155,-0.0636732,-1.35206,-0.140953,-0.310928,-0.0735391,0.897934,0.212284
1.67999,0.2272,-0.0633229,-1.35208,-0.140987,-0.309897,-0.0726544,0.897929,0.212328
1.7,0.225364,-0.0624074,-1.35213,-0.140938,-0.309262,-0.0726544,0.897892,0.212421
1.72,0.223716,-0.0604305,-1.35213,-0.141008,-0.308495,-0.0737102,0.897844,0.212421
1.73999,0.221876,-0.057595,-1.35212,-0.14102,-0.307711,-0.0747513,0.897762,0.212421
1.76001,0.220256,-0.0529869,-1.35209,-0.141095,-0.306963,-0.0747513,0.897692,0.212445
1.78,0.218531,-0.0466219,-1.35209,-0.141133,-0.306206,-0.074741,0.897659,0.212538
1.79999,0.216169,-0.0406754,-1.35203,-0.141251,-0.305245,-0.0741041,0.897584,0.212633
1.82,0.213474,-0.0347247,-1.35203,-0.141317,-0.304372,-0.0731908,0.897552,0.212633
1.84001,0.210767,-0.0300559,-1.35205,-0.141321,-0.30383,-0.0728432,0.897544,0.212633
1.86,0.208268,-0.0263908,-1.35206,-0.14134,-0.303805,-0.0727865,0.897513,0.212644
1.88,0.206335,-0.0242553,-1.35209,-0.141394,-0.303768,-0.072777,0.897544,0.212644
