t_s,l_shoulder_pitch_rad,l_shoulder_roll_rad,l_shoulder_yaw_rad,l_elbow_rad
3.20001,0.703358,-0.0655838,-1.03108,0.00562948
3.22,0.714331,-0.0655206,-1.03117,0.00560719
3.24001,0.724744,-0.0655674,-1.03111,0.00558345
3.26,0.73494,-0.0655778,-1.03112,0.00563341
3.28001,0.744173,-0.0659026,-1.03109,0.00564831
3.3,0.752954,-0.0666921,-1.03111,0.00558555
3.32,0.761207,-0.0668864,-1.03112,0.00561776
3.34,0.770058,-0.0669818,-1.03113,0.00563592
3.36,0.778496,-0.0670131,-1.03122,0.00566213
3.38001,0.787155,-0.066964,-1.03127,0.0056576
3.40001,0.795419,-0.0669853,-1.0313,0.00569224
3.42001,0.804169,-0.0670207,-1.0314,0.00571221
3.44,0.81209,-0.0669515,-1.03143,0.00568176
3.46,0.82017,-0.0669597,-1.03162,0.00567067
3.48,0.828345,-0.0669926,-1.03175,0.00564715
3.5,0.836064,-0.0670132,-1.03189,0.00563794
3.52,0.843943,-0.0669989,-1.03189,0.00571786
3.54,0.852188,-0.0669905,-1.03189,0.00566947
3.56,0.86084,-0.0669857,-1.03192,0.00571869
3.58,0.869331,-0.0669903,-1.03189,0.00570389
3.6,0.87814,-0.0669879,-1.03188,0.00564655
3.62,0.886579,-0.0669885,-1.03188,0.00570835
3.64,0.894603,-0.067008,-1.03189,0.00573749
3.66001,0.902351,-0.0669586,-1.03186,0.00570928
3.68,0.909905,-0.066972,-1.03185,0.00574763
3.7,0.917741,-0.0669479,-1.0319,0.00573445
3.72003,0.925919,-0.0669644,-1.03202,0.0057012
3.74,0.933948,-0.0669666,-1.03198,0.00571131
3.76,0.941923,-0.06693,-1.03208,0.005704
3.78,0.95026,-0.0669641,-1.0323,0.005633
3.80001,0.95757,-0.0669068,-1.03253,0.00566846
3.82,0.964319,-0.0669397,-1.03307,0.00563517
3.84,0.970796,-0.0669332,-1.03378,0.00559394
3.86,0.976263,-0.0669188,-1.0338,0.00564899
3.88001,0.981013,-0.0669425,-1.03368,0.00566547
3.9,0.985182,-0.0669667,-1.03377,0.00566165
3.92,0.988385,-0.0669371,-1.03366,0.00570082
3.94001,0.992042,-0.0669397,-1.03367,0.00565049
3.96001,0.995418,-0.0669413,-1.0337,0.0056515
3.98,0.998505,-0.0669772,-1.03366,0.00568225
4.00001,1.00207,-0.0669301,-1.03363,0.00563199
4.02,1.00514,-0.0669683,-1.03373,0.00564229
4.04,1.00774,-0.0669591,-1.03378,0.00563779
4.06,1.01024,-0.0669361,-1.03369,0.0056042
4.08001,1.01254,-0.0669077,-1.03382,0.00561236
4.10001,1.01448,-0.0669597,-1.03379,0.00560405
4.12,1.01559,-0.066947,-1.03375,0.00557967
4.14,1.01687,-0.066931,-1.03373,0.00557259
4.16,1.01741,-0.0669838,-1.03372,0.00561176
4.18,1.01743,-0.0669198,-1.03377,0.00555753
4.2,1.01742,-0.0669729,-1.03374,0.00557012
4.22001,1.01736,-0.0669589,-1.03381,0.00545589
4.24,1.01726,-0.0669311,-1.03374,0.00549956
4.26,1.01721,-0.0669827,-1.03373,0.00544623
4.28,1.01717,-0.0669246,-1.03376,0.00535227
4.3,1.01701,-0.0669634,-1.03373,0.00528422
4.32,1.01676,-0.0669653,-1.03379,0.00521243
4.34,1.01625,-0.0669412,-1.03376,0.00518894
4.36001,1.01545,-0.0669561,-1.03375,0.00512086
4.38,1.01486,-0.0669635,-1.03374,0.00502592
4.40001,1.0129,-0.0669141,-1.0338,0.00500525
4.42001,1.01109,-0.0669508,-1.03378,0.00506674
4.44,1.00873,-0.0669193,-1.03388,0.00496536
4.46,1.00521,-0.0669692,-1.03385,0.00490365
4.48,1.00069,-0.0669733,-1.03384,0.00495945
4.50001,0.996273,-0.0669235,-1.03378,0.00492458
4.52,0.991208,-0.0668002,-1.03389,0.00490979
4.54,0.985306,-0.0666346,-1.034,0.00490114
4.56,0.978442,-0.0663285,-1.03403,0.00486369
4.58,0.97194,-0.065895,-1.03412,0.00485058
4.6,0.964307,-0.0653222,-1.03425,0.00487279
4.62,0.956607,-0.0648832,-1.03479,0.00490492
4.64,0.94842,-0.0648942,-1.03581,0.0049299
4.66,0.939502,-0.0648746,-1.0386,0.00483129
4.68,0.9303,-0.0648663,-1.04241,0.00486485
4.7,0.920608,-0.0648407,-1.04545,0.00487226
4.71999,0.910476,-0.0648905,-1.04844,0.00489084
4.74,0.899964,-0.0648443,-1.04866,0.00483833
4.76,0.888499,-0.0646926,-1.04864,0.00487189
4.78001,0.876531,-0.0639917,-1.04865,0.00483148
4.80001,0.864302,-0.0625379,-1.04863,0.00477897
4.81999,0.851241,-0.0614956,-1.04851,0.00474628
4.84,0.837692,-0.0601128,-1.04852,0.00472493
4.86,0.823659,-0.0586751,-1.04859,0.00473845
4.88002,0.809988,-0.0566073,-1.04849,0.00470939
4.9,0.795819,-0.0553849,-1.04852,0.00468433
4.92001,0.781094,-0.0544674,-1.04853,0.00461071
4.94001,0.766075,-0.0536821,-1.04858,0.00416635
4.96,0.751376,-0.0528652,-1.04851,0.00323919
4.98001,0.737187,-0.0520835,-1.04855,0.00131523
5.00001,0.722099,-0.0509376,-1.04847,0.000905708
5.02002,0.707044,-0.049623,-1.04848,0.000547005
5.04,0.692273,-0.0487644,-1.04844,-0.000522662
5.06001,0.677002,-0.0475583,-1.04849,-0.000891814
5.08002,0.661406,-0.0471027,-1.04841,-0.000868632
5.10001,0.645639,-0.0467349,-1.0484,-0.000825676
5.12001,0.629732,-0.0458034,-1.04841,-0.000875972
5.14001,0.614234,-0.0451002,-1.04833,-0.000977988
5.16,0.598568,-0.0450853,-1.04838,-0.000966715
